ELM HO REV
ELM HOVER
ELM OH REV
HELM OVER
HELM ROVE
HOLM VEER
LEVER OHM
OHM REVEL

135235 function calls (135141 primitive calls) in 0.092 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      6/1    0.000    0.000    0.092    0.092 {built-in method builtins.exec}
        1    0.000    0.000    0.092    0.092 <string>:1(<module>)
        1    0.000    0.000    0.092    0.092 <frozen runpy>:201(run_module)
        1    0.000    0.000    0.091    0.091 <frozen runpy>:65(_run_code)
        1    0.002    0.002    0.091    0.091 anagrama.py:1(<module>)
        1    0.000    0.000    0.073    0.073 anagrama.py:13(main)
        1    0.019    0.019    0.052    0.052 anagrama.py:351(processa_arquivo_de_palavras)
    24854    0.022    0.000    0.022    0.000 anagrama.py:391(obtem_contagem_de_letras)
        1    0.000    0.000    0.020    0.020 anagrama.py:60(encontrar_anagramas)
        1    0.005    0.005    0.017    0.017 anagrama.py:130(gera_lista_candidatos)
      7/2    0.000    0.000    0.017    0.008 <frozen importlib._bootstrap>:1349(_find_and_load)
      7/2    0.000    0.000    0.016    0.008 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      7/2    0.000    0.000    0.016    0.008 <frozen importlib._bootstrap>:911(_load_unlocked)
      4/2    0.000    0.000    0.015    0.008 <frozen importlib._bootstrap_external>:988(exec_module)
     16/5    0.000    0.000    0.015    0.003 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.014    0.014 __init__.py:1(<module>)
    27426    0.009    0.000    0.013    0.000 anagrama.py:370(palavra_e_candidata)
        7    0.000    0.000    0.011    0.002 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.011    0.011 <frozen importlib._bootstrap_external>:1286(create_module)
        1    0.010    0.010    0.010    0.010 {built-in method _imp.create_dynamic}
    24853    0.005    0.000    0.005    0.000 {method 'strip' of 'str' objects}
    25757    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
    27557    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
      3/1    0.000    0.000    0.003    0.003 anagrama.py:150(gera_lista_anagramas)
      179    0.001    0.000    0.003    0.000 anagrama.py:227(busca_novos_anagramas)
        8    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        6    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1516(find_spec)
        6    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1487(_get_spec)
