primo: 601, inicio: 0, fim: 2

primo: 19, inicio: 2, fim: 3
primo: 1901, inicio: 2, fim: 5

primo: 19, inicio: 5, fim: 6
primo: 1907, inicio: 5, fim: 8
primo: 907, inicio: 6, fim: 8
primo: 7, inicio: 8, fim: 8
primo: 73, inicio: 8, fim: 9
primo: 3, inicio: 9, fim: 9
primo: 31, inicio: 9, fim: 10
primo: 107, inicio: 10, fim: 12
primo: 7, inicio: 12, fim: 12
primo: 71, inicio: 12, fim: 13
primo: 167, inicio: 13, fim: 15
primo: 67, inicio: 14, fim: 15
primo: 7, inicio: 15, fim: 15
primo: 71, inicio: 15, fim: 16
primo: 11, inicio: 16, fim: 17
primo: 157, inicio: 17, fim: 19
primo: 5, inicio: 18, fim: 18
primo: 7, inicio: 19, fim: 19
primo: 7213, inicio: 19, fim: 22
primo: 2, inicio: 20, fim: 20
primo: 2131, inicio: 20, fim: 23
primo: 13, inicio: 21, fim: 22
primo: 131, inicio: 21, fim: 23
primo: 3, inicio: 22, fim: 22
primo: 31, inicio: 22, fim: 23
primo: 1531, inicio: 23, fim: 26
primo: 5, inicio: 24, fim: 24
primo: 53, inicio: 24, fim: 25
primo: 3, inicio: 25, fim: 25
primo: 31, inicio: 25, fim: 26
primo: 313, inicio: 25, fim: 27
primo: 13, inicio: 26, fim: 27
primo: 131, inicio: 26, fim: 28
primo: 3, inicio: 27, fim: 27
primo: 31, inicio: 27, fim: 28
primo: 313, inicio: 27, fim: 29
primo: 13, inicio: 28, fim: 29
primo: 139, inicio: 28, fim: 30
primo: 1399, inicio: 28, fim: 31
primo: 3, inicio: 29, fim: 29
primo: 991, inicio: 30, fim: 32
primo: 1087, inicio: 32, fim: 35
primo: 7, inicio: 35, fim: 35
primo: 73, inicio: 35, fim: 36
primo: 3, inicio: 36, fim: 36
